Game name;Game genre;Rating;Game developer;Game developer website;Game publisher;Game publisher website;Current players;24h peak players;all-time peak players
PUBG: BATTLEGROUNDS;Survival Shooter Battle Royale Multiplayer;56.97%;KRAFTON, Inc.;https://steamdb.info/https://steamdb.info/developer/KRAFTON%2C+Inc./;does not exist;does not exist;431233;431233;3257248
Counter-Strike: Global Offensive;FPS Shooter Multiplayer Competitive Action;88.07%;"Valve; Hidden Path Entertainment";"https://steamdb.info/https://steamdb.info/developer/Valve/; https://steamdb.info/https://steamdb.info/developer/Hidden+Path+Entertainment/";Valve;https://steamdb.info/https://steamdb.info/publisher/Valve/;1342890;1420183;1420183
Lost Ark;MMORPG Free to Play Action RPG Multiplayer;71.32%;Smilegate RPG;https://steamdb.info/https://steamdb.info/developer/Smilegate+RPG/;Amazon Games;https://steamdb.info/https://steamdb.info/publisher/Amazon+Games/;119222;143495;1325305
Dota 2;Free to Play MOBA Multiplayer Strategy eSports;82.23%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;724017;750067;1295114
Cyberpunk 2077;Cyberpunk Open World Nudity RPG Singleplayer;77.43%;CD PROJEKT RED;https://steamdb.info/https://steamdb.info/developer/CD+PROJEKT+RED/;does not exist;does not exist;17259;17689;1054388
ELDEN RING;Souls-like Dark Fantasy RPG Open World Difficult;90.99%;FromSoftware Inc.;https://steamdb.info/https://steamdb.info/developer/FromSoftware+Inc./;"FromSoftware Inc.; Bandai Namco Entertainment";"https://steamdb.info/https://steamdb.info/publisher/FromSoftware+Inc./; https://steamdb.info/https://steamdb.info/publisher/Bandai+Namco+Entertainment/";65322;70523;953426
New World;Massively Multiplayer Open World MMORPG;69.40%;Amazon Games;https://steamdb.info/https://steamdb.info/developer/Amazon+Games/;does not exist;does not exist;17709;21724;913634
Hogwarts Legacy;Magic Fantasy Open World Singleplayer Adventure;91.80%;Avalanche Software;https://steamdb.info/https://steamdb.info/developer/Avalanche+Software/;Warner Bros. Games;https://steamdb.info/https://steamdb.info/publisher/Warner+Bros.+Games/;119089;130990;879308
Goose Goose Duck;Free to Play Multiplayer PvP Character Customization;86.05%;does not exist;does not exist;does not exist;does not exist;124132;165381;702845
Apex Legends;Free to Play Multiplayer Battle Royale Shooter;82.49%;Respawn Entertainment;https://steamdb.info/https://steamdb.info/developer/Respawn+Entertainment/;Electronic Arts;https://steamdb.info/https://steamdb.info/publisher/Electronic+Arts/;558387;605171;624473
Valheim;Open World Survival Craft Survival Online Co-Op;94.03%;Iron Gate AB;https://steamdb.info/https://steamdb.info/developer/Iron+Gate+AB/;Coffee Stain Publishing;https://steamdb.info/https://steamdb.info/publisher/Coffee+Stain+Publishing/;33319;44772;502387
Call of Duty®: Modern Warfare® II | Warzone™ 2.0;FPS Action Multiplayer Shooter Singleplayer;61.68%;"Infinity Ward; Raven Software; Beenox; Treyarch; High Moon Studios; Sledgehammer Games; Activision Shanghai; Demonware; Toys for Bob";"https://steamdb.info/https://steamdb.info/developer/Infinity+Ward/; https://steamdb.info/https://steamdb.info/developer/Raven+Software/; https://steamdb.info/https://steamdb.info/developer/Beenox/; https://steamdb.info/https://steamdb.info/developer/Treyarch/; https://steamdb.info/https://steamdb.info/developer/High+Moon+Studios/; https://steamdb.info/https://steamdb.info/developer/Sledgehammer+Games/; https://steamdb.info/https://steamdb.info/developer/Activision+Shanghai/; https://steamdb.info/https://steamdb.info/developer/Demonware/; https://steamdb.info/https://steamdb.info/developer/Toys+for+Bob/";Activision;https://steamdb.info/https://steamdb.info/publisher/Activision/;118776;123864;491670
Terraria;Open World Survival Craft Sandbox Survival;97.06%;Re-Logic;https://steamdb.info/https://steamdb.info/developer/Re-Logic/;does not exist;does not exist;42092;46967;489886
Capcom Arcade Stadium;Action Arcade Free to Play 2D Platformer 1990's;52.36%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;52;102;488791
Fallout 4;Open World Post-apocalyptic Singleplayer Exploration;81.38%;Bethesda Game Studios;https://steamdb.info/https://steamdb.info/developer/Bethesda+Game+Studios/;Bethesda Softworks;https://steamdb.info/https://steamdb.info/publisher/Bethesda+Softworks/;17374;20407;472962
Life is Strange 2;Choices Matter Story Rich Adventure Singleplayer;83.45%;"DONTNOD Entertainment; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/developer/DONTNOD+Entertainment/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Linux%29/";"Square Enix; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/publisher/Square+Enix/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Linux%29/";134;189;468717
Capcom Arcade 2nd Stadium;Action Arcade 2D Platformer 2D Fighter Side Scroller;63.93%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;39;294;463928
Among Us;Multiplayer Online Co-Op Social Deduction Space;91.07%;Innersloth;https://steamdb.info/https://steamdb.info/developer/Innersloth/;does not exist;does not exist;5639;9799;447476
Sons Of The Forest;Survival Horror Multiplayer Survival Open World;81.34%;Endnight Games Ltd;https://steamdb.info/https://steamdb.info/developer/Endnight+Games+Ltd/;Newnight;https://steamdb.info/https://steamdb.info/publisher/Newnight+/;107798;127513;414257
POSTAL;Horror Top-Down Shooter Twin Stick Shooter;85.44%;Running With Scissors;https://steamdb.info/https://steamdb.info/developer/Running+With+Scissors/;does not exist;does not exist;24;36;412063
World of Warships;Naval Combat Free to Play Naval World War II;79.74%;Wargaming Group Limited;https://steamdb.info/https://steamdb.info/developer/Wargaming+Group+Limited/;does not exist;does not exist;12289;12770;411338
Grand Theft Auto V;Open World Action Multiplayer Crime Automobile Sim;85.15%;Rockstar North;https://steamdb.info/https://steamdb.info/developer/Rockstar+North/;Rockstar Games;https://steamdb.info/https://steamdb.info/publisher/Rockstar+Games/;153499;160472;364548
HITMAN™ 2;Stealth Assassin Action Singleplayer Third Person;89.86%;IO Interactive A/S;https://steamdb.info/https://steamdb.info/developer/IO+Interactive+A%2FS/;does not exist;does not exist;724;791;361001
Kathy Rain;Point & Click Adventure Pixel Graphics Female Protagonist;88.85%;Clifftop Games;https://steamdb.info/https://steamdb.info/developer/Clifftop+Games/;Raw Fury;https://steamdb.info/https://steamdb.info/publisher/Raw+Fury/;5;7;348015
Monster Hunter: World;Co-op Multiplayer Action Open World RPG;85.33%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;43485;45218;334684
PUBG: Test Server;Action Shooter Colorful PvP Multiplayer;does not exist;KRAFTON, Inc.;https://steamdb.info/https://steamdb.info/developer/KRAFTON%2C+Inc./;does not exist;does not exist;241;277;320178
Counter-Strike;Action FPS Multiplayer Shooter Classic Team-Based;96.34%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;12817;15443;319586
Destiny 2;Free to Play Open World FPS Looter Shooter;82.67%;Bungie;https://steamdb.info/https://steamdb.info/developer/Bungie/;Bungie;https://steamdb.info/https://steamdb.info/publisher/Bungie+/;138838;221481;316750
The Elder Scrolls V: Skyrim;Open World RPG Fantasy Adventure Dragons;93.87%;Bethesda Game Studios;https://steamdb.info/https://steamdb.info/developer/Bethesda+Game+Studios/;Bethesda Softworks;https://steamdb.info/https://steamdb.info/publisher/Bethesda+Softworks/;3641;4024;287411
Dying Light 2;Co-op Open World Zombies Parkour Multiplayer;78.07%;Techland;https://steamdb.info/https://steamdb.info/developer/Techland/;does not exist;does not exist;6686;6758;274983
Halo Infinite;Free to Play FPS Multiplayer Shooter Action;69.83%;343 Industries;https://steamdb.info/https://steamdb.info/developer/343+Industries/;Xbox Game Studios;https://steamdb.info/https://steamdb.info/publisher/Xbox+Game+Studios/;3439;8831;272586
KHOLAT;Horror Atmospheric Walking Simulator Survival Horror;66.05%;IMGN.PRO;https://steamdb.info/https://steamdb.info/developer/IMGN.PRO/;does not exist;does not exist;11;13;272019
Yu-Gi-Oh! Master Duel;Card Game Free to Play Strategy Trading Card Game;76.14%;Konami Digital Entertainment;https://steamdb.info/https://steamdb.info/developer/Konami+Digital+Entertainment/;does not exist;does not exist;33184;36398;262689
ARK: Survival Evolved;Open World Survival Craft Survival Open World;82.52%;"Studio Wildcard; Instinct Games; Efecto Studios; Virtual Basement LLC";"https://steamdb.info/https://steamdb.info/developer/Studio+Wildcard/; https://steamdb.info/https://steamdb.info/developer/Instinct+Games/; https://steamdb.info/https://steamdb.info/developer/Efecto+Studios/; https://steamdb.info/https://steamdb.info/developer/Virtual+Basement+LLC/";Studio Wildcard;https://steamdb.info/https://steamdb.info/publisher/Studio+Wildcard/;64748;65516;248405
Mount & Blade II: Bannerlord;Medieval Strategy Open World RPG War Multiplayer;86.82%;TaleWorlds Entertainment;https://steamdb.info/https://steamdb.info/developer/TaleWorlds+Entertainment/;does not exist;does not exist;26204;26310;248216
PAYDAY 2;Co-op Action FPS Heist Looter Shooter Multiplayer;88.92%;OVERKILL - a Starbreeze Studio.;https://steamdb.info/https://steamdb.info/developer/OVERKILL+-+a+Starbreeze+Studio./;Starbreeze Publishing AB;https://steamdb.info/https://steamdb.info/publisher/Starbreeze+Publishing+AB/;35955;48731;247709
Rust;Survival Crafting Multiplayer Open World Open World Survival Craft;86.31%;Facepunch Studios;https://steamdb.info/https://steamdb.info/developer/Facepunch+Studios/;does not exist;does not exist;108032;137694;245243
Envoy 2;Indie Adventure Simulation;does not exist;Riviysky;https://steamdb.info/https://steamdb.info/developer/Riviysky/;does not exist;does not exist;0;0;244375
MONSTER HUNTER RISE;Action RPG Online Co-Op Multiplayer Hunting;85.27%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;36027;36355;231360
For Honor;Medieval Swordplay Action Multiplayer PvP;68.43%;"Ubisoft Montreal; Ubisoft Quebec; Ubisoft Toronto; Blue Byte";"https://steamdb.info/https://steamdb.info/developer/Ubisoft+Montreal/; https://steamdb.info/https://steamdb.info/developer/Ubisoft+Quebec/; https://steamdb.info/https://steamdb.info/developer/Ubisoft+Toronto/; https://steamdb.info/https://steamdb.info/developer/Blue+Byte/";Ubisoft;https://steamdb.info/https://steamdb.info/publisher/Ubisoft/;4443;5644;225831
Braveland;Strategy RPG Turn-Based Strategy Indie Turn-Based;79.04%;Tortuga Team;https://steamdb.info/https://steamdb.info/developer/Tortuga+Team/;does not exist;does not exist;3;7;218169
Gene Shift Auto;Battle Royale Hero Shooter Competitive Free to Play;78.67%;Nik Nak Studios;https://steamdb.info/https://steamdb.info/developer/Nik+Nak+Studios/;does not exist;does not exist;32;55;214143
No Man's Sky;Open World Open World Survival Craft Space;76.88%;Hello Games;https://steamdb.info/https://steamdb.info/developer/Hello+Games/;does not exist;does not exist;9891;11505;212613
Dota Underlords;Free to Play Strategy Casual Auto Battler Multiplayer;81.37%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;2805;2833;202334
Tom Clancy's Rainbow Six Siege;FPS Hero Shooter Multiplayer Tactical Shooter;85.91%;Ubisoft Montreal;https://steamdb.info/https://steamdb.info/developer/Ubisoft+Montreal/;Ubisoft;https://steamdb.info/https://steamdb.info/publisher/Ubisoft/;77094;85670;201053
New World Public Test Realm;does not exist;does not exist;does not exist;does not exist;does not exist;does not exist;30;42;200856
Total War: THREE KINGDOMS;Strategy Historical War Turn-Based Strategy;70.45%;"CREATIVE ASSEMBLY; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/developer/CREATIVE+ASSEMBLY/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Linux%29/";"SEGA; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/publisher/SEGA/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Linux%29/";8343;8669;192298
A Story About My Uncle;Adventure First-Person Parkour Singleplayer;89.88%;Gone North Games;https://steamdb.info/https://steamdb.info/developer/Gone+North+Games/;Coffee Stain Publishing;https://steamdb.info/https://steamdb.info/publisher/Coffee+Stain+Publishing/;11;24;190590
Warframe;Free to Play Action RPG Looter Shooter Third-Person Shooter;85.84%;Digital Extremes;https://steamdb.info/https://steamdb.info/developer/Digital+Extremes/;does not exist;does not exist;55425;56859;189837
Football Manager 2020;Simulation Sports Management Football (Soccer);87.43%;Sports Interactive;https://steamdb.info/https://steamdb.info/developer/Sports+Interactive/;SEGA;https://steamdb.info/https://steamdb.info/publisher/SEGA/;3938;4137;189464
NARAKA: BLADEPOINT;Battle Royale Multiplayer Martial Arts PvP;65.88%;24 Entertainment;https://steamdb.info/https://steamdb.info/developer/24+Entertainment/;NetEase Games Global;https://steamdb.info/https://steamdb.info/publisher/NetEase+Games+Global/;117302;124352;187468
NARAKA: BLADEPOINT Demo;does not exist;does not exist;24 Entertainment;https://steamdb.info/https://steamdb.info/developer/24+Entertainment/;NetEase Games Montréal;https://steamdb.info/https://steamdb.info/publisher/NetEase+Games+Montr%C3%A9al/;0;0;186589
Source SDK Base 2013 Multiplayer;does not exist;does not exist;does not exist;does not exist;does not exist;does not exist;149;178;184888
鬼谷八荒 Tale of Immortal;Tactical RPG Management Singleplayer Mythology;50.61%;鬼谷工作室;https://steamdb.info/https://steamdb.info/developer/%E9%AC%BC%E8%B0%B7%E5%B7%A5%E4%BD%9C%E5%AE%A4/;"鬼谷工作室; Lightning Games";"https://steamdb.info/https://steamdb.info/publisher/%E9%AC%BC%E8%B0%B7%E5%B7%A5%E4%BD%9C%E5%AE%A4/; https://steamdb.info/https://steamdb.info/publisher/Lightning+Games/";11097;11173;184171
Hyperdrive Massacre;Action Indie Local Multiplayer Arcade Casual;54.39%;34BigThings srl;https://steamdb.info/https://steamdb.info/developer/34BigThings+srl/;"34BigThings srl; Digital Tribe";"https://steamdb.info/https://steamdb.info/publisher/34BigThings+srl/; https://steamdb.info/https://steamdb.info/publisher/Digital+Tribe/";0;3;181308
Evolvation;Massively Multiplayer Action Indie Casual Simulation;66.21%;"Eric Ruts; Jacob Kooiman";"https://steamdb.info/https://steamdb.info/developer/Eric+Ruts/; https://steamdb.info/https://steamdb.info/developer/Jacob+Kooiman/";HyperReuts;https://steamdb.info/https://steamdb.info/publisher/HyperReuts/;0;2;172870
Fall Guys;Multiplayer Party Game Family Friendly Battle Royale;80.68%;Mediatonic;https://steamdb.info/https://steamdb.info/developer/Mediatonic/;does not exist;does not exist;3372;3738;172213
Call of Duty®: Modern Warfare® II - Open Beta;Action Shooter FPS Military First-Person;does not exist;"Infinity Ward; Raven Software; Beenox; Treyarch; High Moon Studios; Sledgehammer Games; Activision Shanghai; Demonware; Toys for Bob";"https://steamdb.info/https://steamdb.info/developer/Infinity+Ward/; https://steamdb.info/https://steamdb.info/developer/Raven+Software/; https://steamdb.info/https://steamdb.info/developer/Beenox/; https://steamdb.info/https://steamdb.info/developer/Treyarch/; https://steamdb.info/https://steamdb.info/developer/High+Moon+Studios/; https://steamdb.info/https://steamdb.info/developer/Sledgehammer+Games/; https://steamdb.info/https://steamdb.info/developer/Activision+Shanghai/; https://steamdb.info/https://steamdb.info/developer/Demonware/; https://steamdb.info/https://steamdb.info/developer/Toys+for+Bob/";Activision;https://steamdb.info/https://steamdb.info/publisher/Activision/;0;0;168330
Team Fortress 2;Free to Play Hero Shooter Multiplayer FPS;93.06%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;92823;96403;167951
Total War: WARHAMMER III;Early Access Strategy Turn-Based Strategy;73.19%;"CREATIVE ASSEMBLY; Feral Interactive";"https://steamdb.info/https://steamdb.info/developer/CREATIVE+ASSEMBLY/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive/";"SEGA; Feral Interactive";"https://steamdb.info/https://steamdb.info/publisher/SEGA/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive/";41223;43164;166754
DISTRAINT: Deluxe Edition;Indie Horror Psychological Horror Pixel Graphics;90.68%;Jesse Makkonen;https://steamdb.info/https://steamdb.info/developer/Jesse+Makkonen/;does not exist;does not exist;14;20;165266
The Tiny Bang Story;Point & Click Puzzle Hand-drawn Steampunk;84.85%;Colibri Games;https://steamdb.info/https://steamdb.info/developer/Colibri+Games/;does not exist;does not exist;8;14;164840
Company of Heroes 2;Strategy World War II RTS Multiplayer Tactical;77.74%;"Relic Entertainment; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/developer/Relic+Entertainment/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Linux%29/";"SEGA; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/publisher/SEGA/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Linux%29/";8087;8532;164688
Sid Meier's Civilization VI;Strategy Turn-Based Strategy Multiplayer Historical;83.92%;"Firaxis Games; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/developer/Firaxis+Games/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Linux%29/";"2K; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/publisher/2K/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Linux%29/";64116;70483;162657
Left 4 Dead 2;Zombies Co-op FPS Multiplayer Shooter;96.70%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;30779;37856;162399
Halo: The Master Chief Collection;Great Soundtrack FPS Classic Multiplayer;91.62%;"343 Industries; Splash Damage; Ruffian Games; Bungie; Saber Interactive";"https://steamdb.info/https://steamdb.info/developer/343+Industries/; https://steamdb.info/https://steamdb.info/developer/Splash+Damage/; https://steamdb.info/https://steamdb.info/developer/Ruffian+Games/; https://steamdb.info/https://steamdb.info/developer/Bungie/; https://steamdb.info/https://steamdb.info/developer/Saber+Interactive/";Xbox Game Studios;https://steamdb.info/https://steamdb.info/publisher/Xbox+Game+Studios/;2353;5007;161024
